city,region,dev_role,dev_role_parent_group,visitors,city_visitors_share,location_quotient
sydney,international,all developers,-,,1,1
sydney,international,mobile developers,all developers,,0.048561699,0.999105742
sydney,international,other kinds of developers,all developers,,0.359589136,0.981674343
sydney,international,web developers,all developers,,0.644425372,1.00371203
sydney,international,android developers,mobile developers,,0.023145713,0.984477568
sydney,international,ios developers,mobile developers,,0.025305241,1.006861192
sydney,international,back-end web,other kinds of developers,,0.139169597,1.031071741
sydney,international,biz intel developers,other kinds of developers,,0.002122613,1.044129432
sydney,international,data scientists,other kinds of developers,,0.030602545,0.842402798
sydney,international,database administrators,other kinds of developers,,0.064702788,0.944771207
sydney,international,desktop developers,other kinds of developers,,0.039729782,0.981201292
sydney,international,embedded developers,other kinds of developers,,0.032586727,0.911254694
sydney,international,front-end web,other kinds of developers,,0.106979706,0.965792654
sydney,international,full-stack web,other kinds of developers,,0.57367775,1.013079466
sydney,international,graphics programmers,other kinds of developers,,0.011702059,0.858232647
sydney,international,highly technical designers,other kinds of developers,,0.020644721,0.909057555
sydney,international,highly technical product managers,other kinds of developers,,0.002953201,1.064464068
sydney,international,machine learning specialists,other kinds of developers,,0.03227295,0.869145901
sydney,international,qa engineers,other kinds of developers,,0.029707356,1.180217267
sydney,international,systems administrators,other kinds of developers,,0.134638279,1.016453195
tel_aviv,international,all developers,-,,1,1
tel_aviv,international,mobile developers,all developers,,0.077724843,1.053953259
tel_aviv,international,other kinds of developers,all developers,,0.319756649,0.967366129
tel_aviv,international,web developers,all developers,,0.662428146,1.015238011
tel_aviv,international,android developers,mobile developers,,0.053769934,1.025785758
tel_aviv,international,ios developers,mobile developers,,0.023775974,1.113955658
tel_aviv,international,back-end web,other kinds of developers,,0.174819388,1.053887773
tel_aviv,international,biz intel developers,other kinds of developers,,6.26E-04,1.056715711
tel_aviv,international,data scientists,other kinds of developers,,0.018228992,0.870730742
tel_aviv,international,database administrators,other kinds of developers,,0.040517569,0.978731709
tel_aviv,international,desktop developers,other kinds of developers,,0.041680646,1.047983716
tel_aviv,international,embedded developers,other kinds of developers,,0.083394842,0.954073978
tel_aviv,international,front-end web,other kinds of developers,,0.084244783,1.021052984
tel_aviv,international,full-stack web,other kinds of developers,,0.601277148,1.014760839
tel_aviv,international,graphics programmers,other kinds of developers,,0.007906685,0.947444004
tel_aviv,international,highly technical designers,other kinds of developers,,0.017401418,0.957162317
tel_aviv,international,highly technical product managers,other kinds of developers,,0.001409112,1.053551891
tel_aviv,international,machine learning specialists,other kinds of developers,,0.019336152,0.882108593
tel_aviv,international,qa engineers,other kinds of developers,,0.02493905,1.04739817
tel_aviv,international,systems administrators,other kinds of developers,,0.094969693,1.002198346
